ts,lat,lon
1758965551045,34.029854,-118.287801
1758965551162,34.029887,-118.287834
1758965551166,34.029893,-118.287813
1758965576416,34.029796,-118.287811
1758966148321,34.029815,-118.287837
1758966190306,34.029825,-118.287857
1758966220291,34.029838,-118.287854
1758966250267,34.029835,-118.287853
1758966280286,34.029826,-118.287832
1758966310301,34.02983,-118.287825
1758966340434,34.029824,-118.287819
1758966370461,34.029827,-118.287856
1758966400426,34.029842,-118.287862
1758966430439,34.029843,-118.287853
1758966460454,34.029834,-118.28786
1758966490432,34.029836,-118.287894
1758966520431,34.029837,-118.287894
1758966550426,34.029826,-118.287854
1758966580292,34.029823,-118.287839
1758966610434,34.029823,-118.287836
1758966640426,34.029825,-118.287835
1758966672783,34.029824,-118.287825
1758966702636,34.029829,-118.287811
1758966732782,34.029832,-118.287802
1758966762641,34.029833,-118.287803
1758966792766,34.029832,-118.287803
1758966822621,34.029839,-118.287875
1758966852661,34.02984,-118.287883
1758966882616,34.02984,-118.28788
1758966912781,34.029841,-118.28788
1758966942616,34.029842,-118.287875
1758966972761,34.029843,-118.287871
1758967002611,34.029853,-118.287872
1758967032766,34.029844,-118.287853
1758967062621,34.029848,-118.287855
1758967092782,34.029846,-118.287855
1758967122631,34.029859,-118.28788
1758967152586,34.029867,-118.28791
1758967182641,34.029869,-118.287906
1758967212762,34.029876,-118.2879
1758967262242,34.029845,-118.287848
1758967292254,34.029881,-118.287867
1758967322232,34.02989,-118.287875
1758967352236,34.029883,-118.287874
1758967382233,34.029875,-118.287851
1758967412258,34.029871,-118.28783
1758967442231,34.029868,-118.287824
1758967472252,34.029873,-118.287915
1758967502232,34.02987,-118.287898
1758967532237,34.029872,-118.287892
1758967562236,34.029857,-118.28785
1758967592236,34.029851,-118.287837
1758967622097,34.02982,-118.287761
1758967652056,34.029818,-118.287738
1758967682093,34.02982,-118.28774
1758967712072,34.02979,-118.287749
1758967742091,34.029762,-118.287786
1758967772065,34.029751,-118.28779
1758967802092,34.029773,-118.28778
1758967832076,34.029799,-118.287762
1758967862047,34.029772,-118.287771
1758967892042,34.029768,-118.287756
1758967922046,34.029743,-118.287762
1758967952096,34.02977,-118.287742
1758967982076,34.029783,-118.287784
1758968012046,34.029799,-118.287763
1758968042096,34.029796,-118.287757
1758968072071,34.029798,-118.287751
1758968102081,34.029825,-118.287755
1758968132311,34.029841,-118.287808
1758968162541,34.029864,-118.287825
1758968192211,34.029862,-118.287813
1758968222037,34.029844,-118.287842
1758968252076,34.029838,-118.287871
1758968282041,34.029854,-118.287825
1758968312086,34.02985,-118.287832
1758968342078,34.029843,-118.287851
1758968372066,34.029827,-118.287853
1758968402076,34.029829,-118.287863
1758968432036,34.02981,-118.287864
1758968462096,34.029819,-118.287895
1758968492067,34.029859,-118.28784
1758968522048,34.02984,-118.287833
1758968552046,34.02983,-118.287805
1758968582102,34.029834,-118.287807
1758968612036,34.029849,-118.287804
1758968642066,34.029855,-118.28781
1758968672031,34.029862,-118.287812
1758968702066,34.029872,-118.287825
1758968732076,34.02987,-118.287815
1758968762206,34.02987,-118.287814
1758968792252,34.029869,-118.287813
1758968822219,34.02987,-118.287813
1758968852046,34.029858,-118.287844
1758968882038,34.02985,-118.287845
1758968912066,34.029849,-118.287836
1758968942196,34.029849,-118.287837
1758968972081,34.02984,-118.287826
1758969002087,34.029842,-118.287826
1758969032066,34.029846,-118.287828
1758969062041,34.029838,-118.287826
1758969092066,34.029837,-118.287843
1758969122062,34.029838,-118.287844
1758969152031,34.029838,-118.287843
1758969182036,34.029839,-118.28784
1758969212082,34.029829,-118.28785
1758969242081,34.029829,-118.28785
1758969272091,34.029828,-118.287851
1758969302031,34.029828,-118.287852
1758969332051,34.029828,-118.287853
1758969362052,34.02983,-118.287899
1758969392062,34.029831,-118.287884
1758969422428,34.02984,-118.287882
1758969452196,34.029833,-118.287853
1758969482206,34.029855,-118.287813
1758969512220,34.029853,-118.287814
1758969542216,34.029846,-118.287819
1758969572196,34.029837,-118.28783
1758969602212,34.029836,-118.28783
1758969632196,34.029838,-118.287828
1758969662237,34.029838,-118.287826
1758969692202,34.029838,-118.287826
1758969722208,34.029839,-118.287826
1758969752186,34.029849,-118.2878
1758969785642,34.029856,-118.287788
1758969812226,34.029855,-118.287786
1758969842230,34.029855,-118.287787
1758969872342,34.029854,-118.287789
1758969902262,34.029855,-118.287786
1758969932230,34.029855,-118.28778
1758969962326,34.029853,-118.287758
1758969992208,34.029853,-118.287758
1758970022238,34.029853,-118.287756
1758970052222,34.029852,-118.287753
1758970082206,34.029852,-118.287753
1758970112227,34.029852,-118.287752
1758970142048,34.029853,-118.287751
1758970172210,34.029852,-118.287752
1758970202262,34.029852,-118.287753
1758970232210,34.029852,-118.287754
1758970262205,34.029852,-118.287753
1758970292264,34.029853,-118.287753
1758970322190,34.029852,-118.287753
1758970352222,34.029853,-118.287753
1758970382190,34.029853,-118.287752
1758970412198,34.029853,-118.287753
1758970442206,34.029853,-118.287754
1758970472210,34.029852,-118.287754
1758970502326,34.029853,-118.287753
1758970532207,34.029853,-118.287752
1758970562252,34.029853,-118.287752
1758970592184,34.029853,-118.287751
1758970622209,34.029853,-118.287751
1758970652228,34.029853,-118.287752
1758970682202,34.029853,-118.287751
1758970712225,34.029853,-118.287751
1758970742187,34.029853,-118.287752
1758970772241,34.029852,-118.287754
1758970802270,34.029853,-118.287755
1758970832178,34.029854,-118.287754
1758970862222,34.029853,-118.287751
